"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21912","execute End to End Test cases","chromium","2026-02-08","passed","2026-02-08","","endToendTestcase.spec.ts","",""
"","7700","Verify the Login Functionality for Invalid login from Excel file @dataDriven","chromium","2026-02-07","passed","2026-02-07","","dataDriven.spec.ts","",""
"","7458","Verify the LogOut Functionality @master @regression","chromium","2026-02-08","passed","2026-02-08","","Logout.spec.ts","",""
"","13293","Account Registration Test @master @sanity @regression","chromium","2026-02-14","passed","2026-02-14","","accountRegistration.spec.ts","",""
"","14333","LoginInto the application and Logout","chromium","2026-02-07","passed","2026-02-07","","loginTest.spec.ts","",""
"","8075","Verify the Login Functionality for Invalid login","chromium","2026-02-07","passed","2026-02-07","","dataDriven.spec.ts","",""
"","6391","Search if the product is displayed on the screen @mater @regression","chromium","2026-02-08","passed","2026-02-08","","searchProducts.spec.ts","",""
"","7731","Verify the Login Functionality for Valid login from Excel file @dataDriven","chromium","2026-02-07","passed","2026-02-07","","dataDriven.spec.ts","",""
"","6246","Add Product To cart @master @regression","chromium","2026-02-08","passed","2026-02-08","","select_a_Target_Product.spec.ts","",""
"","7425","Verify the Login Functionality for Valid login","chromium","2026-02-07","passed","2026-02-07","","dataDriven.spec.ts","",""
"","20826","execute End to End Test cases @endToend","chromium","2026-02-08","passed","2026-02-08","","endToendTestcase.spec.ts","",""
"","14475","LoginInto the application and Logout @master @sanity @regression","chromium","2026-02-14","passed","2026-02-14","","loginTest.spec.ts","",""
